id,participant_id,survey_data.responses.final_confidence_level,survey_data.timestamp,survey_data.session_id,survey_data.prolific_id,survey_data.participant_id,submitted_at,created_at
1,30be5f9c-4681-41c0-abc2-d861ed4ee8b6,100,2025-09-05T04:24:35.188Z,,,30be5f9c-4681-41c0-abc2-d861ed4ee8b6,2025-09-05T04:24:35.188Z,2025-09-05T04:24:35.188Z
2,ca3a51de-4e84-4954-8be6-303d11b06ac5,67,2025-09-17T04:07:26.384Z,,,ca3a51de-4e84-4954-8be6-303d11b06ac5,2025-09-17T04:07:26.384Z,2025-09-17T04:07:26.384Z
3,21c79531-32e1-4ff7-8215-252532b9baea,73,2025-09-17T00:48:58.395Z,,,21c79531-32e1-4ff7-8215-252532b9baea,2025-09-17T00:48:58.395Z,2025-09-17T00:48:58.395Z
4,fd288cb8-6a1e-462f-a95b-f0743eed0138,76,2025-09-04T22:38:27.450Z,,,fd288cb8-6a1e-462f-a95b-f0743eed0138,2025-09-04T22:38:27.450Z,2025-09-04T22:38:27.450Z
5,4c09b831-13a1-448b-970f-54fe4446ad68,72,2025-09-17T04:35:15.406Z,,,4c09b831-13a1-448b-970f-54fe4446ad68,2025-09-17T04:35:15.406Z,2025-09-17T04:35:15.406Z
6,c0a5c65a-e14f-4879-ac5d-830ed423d898,100,2025-09-30T03:10:35.420Z,,,c0a5c65a-e14f-4879-ac5d-830ed423d898,2025-09-30T03:10:35.420Z,2025-09-30T03:10:35.420Z
7,ab647845-4fa4-443a-ad46-a21bff2d0e52,,2025-09-02T01:27:22.974Z,,,ab647845-4fa4-443a-ad46-a21bff2d0e52,2025-09-02T01:27:22.974Z,2025-09-02T01:27:22.974Z
8,4644d6c1-303d-42a5-a18a-ae0e442bf61b,76,2025-09-30T03:01:00.886Z,,,4644d6c1-303d-42a5-a18a-ae0e442bf61b,2025-09-30T03:01:00.886Z,2025-09-30T03:01:00.886Z
9,515437d5-e614-4bb0-9d43-3f16174a789b,90,2025-09-04T22:55:48.515Z,,,515437d5-e614-4bb0-9d43-3f16174a789b,2025-09-04T22:55:48.515Z,2025-09-04T22:55:48.515Z
10,65da03ca-6ae9-4702-9704-d1277f8348aa,,2025-09-22T01:36:14.683Z,,,65da03ca-6ae9-4702-9704-d1277f8348aa,2025-09-22T01:36:14.683Z,2025-09-22T01:36:14.683Z
11,8d186f46-036e-4753-925c-bd3047232ccd,100,2025-09-04T23:18:46.638Z,,,8d186f46-036e-4753-925c-bd3047232ccd,2025-09-04T23:18:46.638Z,2025-09-04T23:18:46.638Z
12,86e79db7-e5aa-4f1c-91e2-460022449dfe,91,2025-10-08T02:03:29.227Z,,,86e79db7-e5aa-4f1c-91e2-460022449dfe,2025-10-08T02:03:29.227Z,2025-10-08T02:03:29.227Z
13,a51cfc71-b161-4ce6-9a59-14fe8cc640bb,69,2025-09-30T02:53:13.849Z,,,a51cfc71-b161-4ce6-9a59-14fe8cc640bb,2025-09-30T02:53:13.849Z,2025-09-30T02:53:13.849Z
14,6e165fb7-a6d1-4156-a5d2-defea67d2bc9,75,2025-09-16T04:06:44.393Z,,,6e165fb7-a6d1-4156-a5d2-defea67d2bc9,2025-09-16T04:06:44.393Z,2025-09-16T04:06:44.393Z
15,ca3a51de-4e84-4954-8be6-303d11b06ac5,100,2025-09-17T04:05:17.223Z,,,ca3a51de-4e84-4954-8be6-303d11b06ac5,2025-09-17T04:05:17.223Z,2025-09-17T04:05:17.223Z
16,f163cf0e-113b-4bb4-9e4e-0c78284c4b13,100,2025-10-09T00:43:44.275Z,,,f163cf0e-113b-4bb4-9e4e-0c78284c4b13,2025-10-09T00:43:44.275Z,2025-10-09T00:43:44.275Z
17,e0a677fc-a9ed-43f5-954f-e7053b69d86f,85,2025-09-04T05:45:04.350Z,,,e0a677fc-a9ed-43f5-954f-e7053b69d86f,2025-09-04T05:45:04.350Z,2025-09-04T05:45:04.350Z
18,8015b4ac-2640-4b40-bf0d-06b67bee1364,,2025-08-27T23:44:10.941Z,,,8015b4ac-2640-4b40-bf0d-06b67bee1364,2025-08-27T23:44:10.941Z,2025-08-27T23:44:10.941Z
19,6258ec54-28aa-4852-9506-ed3abff52e20,90,2025-09-25T22:46:18.363Z,,,6258ec54-28aa-4852-9506-ed3abff52e20,2025-09-25T22:46:18.363Z,2025-09-25T22:46:18.363Z
20,5bc3b620-1057-4c24-ad61-c9e2f4af254f,72,2025-09-04T05:41:57.734Z,,,5bc3b620-1057-4c24-ad61-c9e2f4af254f,2025-09-04T05:41:57.734Z,2025-09-04T05:41:57.734Z
21,d187a367-2db6-4d03-b4be-7aebe3b3ffb1,33,2025-09-04T06:10:38.298Z,,,d187a367-2db6-4d03-b4be-7aebe3b3ffb1,2025-09-04T06:10:38.298Z,2025-09-04T06:10:38.298Z
22,e056ad52-b88a-423c-907c-002ea0bbfbbe,,2025-09-03T02:57:42.507Z,,,e056ad52-b88a-423c-907c-002ea0bbfbbe,2025-09-03T02:57:42.507Z,2025-09-03T02:57:42.507Z
23,2ba270d2-c0ce-42ce-8f03-67f80381084d,65,2025-09-22T05:24:14.495Z,,,2ba270d2-c0ce-42ce-8f03-67f80381084d,2025-09-22T05:24:14.495Z,2025-09-22T05:24:14.495Z
24,f25c8da7-8257-446a-8890-658286ab7272,,2025-08-28T00:59:57.724Z,,,f25c8da7-8257-446a-8890-658286ab7272,2025-08-28T00:59:57.724Z,2025-08-28T00:59:57.724Z
25,2aaeb2df-06e7-4505-8ed4-344ae50ec0f6,78,2025-09-11T01:06:28.356Z,,,2aaeb2df-06e7-4505-8ed4-344ae50ec0f6,2025-09-11T01:06:28.356Z,2025-09-11T01:06:28.356Z
26,2dd85cf8-341d-4800-9589-5057fa3a058b,,2025-09-02T07:18:30.435Z,,,2dd85cf8-341d-4800-9589-5057fa3a058b,2025-09-02T07:18:30.435Z,2025-09-02T07:18:30.435Z
27,65dba151-7796-4dde-8981-a690d6e069bf,,2025-09-03T04:20:21.422Z,,,65dba151-7796-4dde-8981-a690d6e069bf,2025-09-03T04:20:21.422Z,2025-09-03T04:20:21.422Z
28,108ddd43-9eca-450b-8f43-5c7be5a61101,64,2025-09-17T04:14:04.650Z,,,108ddd43-9eca-450b-8f43-5c7be5a61101,2025-09-17T04:14:04.650Z,2025-09-17T04:14:04.650Z
29,3034c06f-810e-47e3-ba1c-2b8f59e780d3,97,2025-09-25T01:45:41.342Z,,,3034c06f-810e-47e3-ba1c-2b8f59e780d3,2025-09-25T01:45:41.342Z,2025-09-25T01:45:41.342Z
30,ca3a51de-4e84-4954-8be6-303d11b06ac5,77,2025-09-17T04:08:14.992Z,,,ca3a51de-4e84-4954-8be6-303d11b06ac5,2025-09-17T04:08:14.992Z,2025-09-17T04:08:14.992Z
31,1f01b9f3-ab4e-4539-83fc-be8b16993834,93,2025-09-30T03:17:43.494Z,,,1f01b9f3-ab4e-4539-83fc-be8b16993834,2025-09-30T03:17:43.494Z,2025-09-30T03:17:43.494Z
32,6a0ebbdb-da3c-4376-8905-7391ae48927e,94,2025-09-10T23:46:07.909Z,,,6a0ebbdb-da3c-4376-8905-7391ae48927e,2025-09-10T23:46:07.909Z,2025-09-10T23:46:07.909Z
33,aa158ee0-8109-4221-9af8-2930a80bad9f,86,2025-09-09T02:15:56.050Z,,,aa158ee0-8109-4221-9af8-2930a80bad9f,2025-09-09T02:15:56.050Z,2025-09-09T02:15:56.050Z
34,e489a472-3798-4eb4-a6a9-9e149346888f,66,2025-09-17T00:34:20.187Z,,,e489a472-3798-4eb4-a6a9-9e149346888f,2025-09-17T00:34:20.187Z,2025-09-17T00:34:20.187Z
35,c923427d-a0a3-4560-9a26-0fe557935023,68,2025-09-30T03:25:14.962Z,,,c923427d-a0a3-4560-9a26-0fe557935023,2025-09-30T03:25:14.962Z,2025-09-30T03:25:14.962Z
36,4a765763-48f3-4f50-be3b-138b3e1343f1,68,2025-09-11T01:46:45.186Z,,,4a765763-48f3-4f50-be3b-138b3e1343f1,2025-09-11T01:46:45.186Z,2025-09-11T01:46:45.186Z
37,d794178a-6563-486a-bb38-4988618806ce,79,2025-09-08T05:11:46.516Z,,,d794178a-6563-486a-bb38-4988618806ce,2025-09-08T05:11:46.516Z,2025-09-08T05:11:46.516Z
38,3b1ba6c5-f65d-4b8f-870d-d4c6f668a059,,2025-09-03T03:34:29.493Z,,,3b1ba6c5-f65d-4b8f-870d-d4c6f668a059,2025-09-03T03:34:29.493Z,2025-09-03T03:34:29.493Z
39,b5556be4-7e3b-443a-8956-5d08ffc8528a,,2025-09-03T02:52:11.384Z,,,b5556be4-7e3b-443a-8956-5d08ffc8528a,2025-09-03T02:52:11.384Z,2025-09-03T02:52:11.384Z
40,4a45d70c-c72e-4f22-9ac3-1c0522104083,100,2025-09-05T04:53:28.623Z,,,4a45d70c-c72e-4f22-9ac3-1c0522104083,2025-09-05T04:53:28.623Z,2025-09-05T04:53:28.623Z
41,ca3a51de-4e84-4954-8be6-303d11b06ac5,68,2025-09-17T04:07:39.028Z,,,ca3a51de-4e84-4954-8be6-303d11b06ac5,2025-09-17T04:07:39.028Z,2025-09-17T04:07:39.028Z
42,e54a4d85-415a-42dd-ba94-67d1d6e4c60f,,2025-08-27T23:51:25.724Z,,,e54a4d85-415a-42dd-ba94-67d1d6e4c60f,2025-08-27T23:51:25.724Z,2025-08-27T23:51:25.724Z